exposure_id,pet_gender,pet_de_sexed,pet_de_sexed_age,pet_is_switcher,pet_age_months,nb_contribution,nb_excess,nb_address_type_adj,nb_suburb,nb_postcode,nb_state,person_dob,nb_contribution_excess,pet_age_years,owner_age_years,nb_number_of_breeds,nb_average_breed_size,nb_breed_type,nb_breed_trait,nb_breed_name_unique,nb_breed_name_unique_concat,is_multi_pet_plan,lead_date_day,quote_date,quote_time_group,Full_month_premium
exposure_003e3670-e84d-497b-bd5a-058db7990d4c,female,TRUE,7-12 mo,,45,80,100,House,Coomera,4209,QLD,1996-11-01,80100,3 years,27,1,3,purebred,hound,rhodesian ridgeback,rhodesian ridgeback,TRUE,0,2024-04-09 12:22:45,Afternoon (12:00 - 17:59),
exposure_004e3307-0542-490e-9c98-326401bd966e,male,FALSE,,TRUE,37,80,100,House,Romsey,3434,VIC,1984-08-07,80100,3 years,40,1,2,purebred,collie related,australian shepherd,australian shepherd,FALSE,0,2024-08-23 06:27:44,Morning (05:00 - 11:59),
exposure_005603d4-d738-4093-b54a-19837c75be52,female,FALSE,,,49,80,100,House,Chatswood,2067,NSW,1977-08-24,80100,4 years,46,1,3,purebred,retriever,golden retriever,golden retriever,FALSE,0,2024-04-09 10:20:14,Morning (05:00 - 11:59),
exposure_00597aac-1486-4407-837e-f349b8de2f2c,female,TRUE,4-6 mo,FALSE,25,80,100,House,Semaphore Park,5019,SA,1995-03-31,80100,2 years,29,6,1.833333333,cross,cross,cross,"chihuahua, shar pei, labrador retriever, american staffordshire terrier, shih tzu, maltese",FALSE,0,2024-05-15 10:14:24,Morning (05:00 - 11:59),
exposure_00601eb8-3e22-4298-8d90-9611a2513569,female,TRUE,1-2 yr,FALSE,20,80,200,House,Thornlands,4164,QLD,1997-09-27,80200,1 years,26,1,2,unnamed cross,unknown,australian kelpie cross,australian kelpie cross,FALSE,0,2024-06-09 17:47:45,Afternoon (12:00 - 17:59),
exposure_006641d0-199f-4cff-927c-d386322a9ebc,female,FALSE,,,3,100,100,House,Narooma,2546,NSW,1955-08-21,100100,0-6 months,68,1,1,purebred,terrier,australian terrier,australian terrier,FALSE,0,2023-12-05 15:51:41,Afternoon (12:00 - 17:59),
exposure_006ce5cd-30b1-4024-96d9-3bff3acb94a7,female,FALSE,,TRUE,3,80,200,House,Cronulla,2230,NSW,1994-07-29,80200,0-6 months,29,1,1,designerbreed,water dog,cavoodle,cavoodle,FALSE,0,2024-06-18 12:08:40,Afternoon (12:00 - 17:59),
exposure_006dffd7-6979-43a9-bbda-b4bf9afb0752,male,TRUE,4-6 mo,FALSE,6,80,200,House,Petrie,4502,QLD,1982-09-13,80200,0-6 months,41,1,3,purebred,brachycephalic,american staffordshire terrier,american staffordshire terrier,FALSE,0,2024-08-02 06:59:35,Morning (05:00 - 11:59),
exposure_007da5a4-bc70-40b6-baa9-d26a036773ae,female,FALSE,,FALSE,3,80,200,House,West Wollongong,2500,NSW,1986-03-13,80200,0-6 months,38,1,3,designerbreed,water dog,groodle,groodle,FALSE,0,2024-08-05 16:26:24,Afternoon (12:00 - 17:59),
exposure_008bcb59-460c-40e1-8fc7-81d2b6f391f4,male,FALSE,,FALSE,10,80,100,House,Kalkallo,3064,VIC,1992-04-29,80100,7-12 months,32,1,1,purebred,teckel,dachshundminiature smooth haired,dachshundminiature smooth haired,FALSE,1,2024-04-30 16:58:27,Afternoon (12:00 - 17:59),
exposure_008c5d3b-3ab9-4a63-9855-a23079f4ff52,female,TRUE,1-2 yr,,24,90,100,House,Fadden,2904,ACT,1999-11-20,90100,2 years,24,1,1,purebred,teckel,dachshundminiature smooth haired,dachshundminiature smooth haired,FALSE,0,2024-03-10 11:09:56,Morning (05:00 - 11:59),
exposure_00903988-ba9d-4f35-91fd-9ef40062789f,female,FALSE,,,6,100,100,House,Clifton Springs,3222,VIC,1979-07-17,100100,0-6 months,44,1,3,purebred,pointer,dalmatian,dalmatian,FALSE,0,2024-01-09 03:12:18,Late Night (00:00 - 04:59),
exposure_009927db-bdce-48d1-9300-8097c8d0c1d2,male,TRUE,0-3 mo,TRUE,12,80,100,House,Austins Ferry,7011,TAS,1967-12-29,80100,7-12 months,56,1,4,purebred,forest cat,maine coon,maine coon,FALSE,0,2024-09-27 14:23:33,Afternoon (12:00 - 17:59),
exposure_00999f93-ea07-4e5e-8725-ef90dff9d0bb,female,TRUE,4-6 mo,,18,80,0,Apartment,Marsfield,2122,NSW,1988-04-28,800,1 years,35,2,1.5,cross,cross,cross,"poodle cross, japanese spitz",FALSE,0,2024-03-02 09:39:26,Morning (05:00 - 11:59),
exposure_009dd804-dba4-4184-ae67-6c631aada3e9,male,TRUE,7-12 mo,TRUE,38,80,200,House,Broadbeach Waters,4218,QLD,1993-08-22,80200,3 years,31,1,2,purebred,collie related,border collie,border collie,FALSE,0,2024-09-02 11:34:10,Morning (05:00 - 11:59),
exposure_009fcae0-ebb0-44a7-b93d-a2b265ab1874,female,FALSE,,,2,80,100,House,Rouse Hill,2155,NSW,1991-12-02,80100,0-6 months,32,1,3,purebred,spitz related,chow chow,chow chow,FALSE,0,2024-02-20 20:34:15,Evening (18:00 - 23:59),
exposure_00aba3af-4238-4363-83c2-153bb06a95d8,male,FALSE,,,3,100,100,House,Craigmore,5114,SA,1977-11-21,100100,0-6 months,46,1,1,purebred,white fluffy,maltese,maltese,FALSE,2,2024-03-09 16:45:07,Afternoon (12:00 - 17:59),
exposure_00b3d0f3-215e-4c71-a794-5b0cd3189fc9,female,FALSE,,,2,80,100,House,Margaret River,6285,WA,1996-09-26,80100,0-6 months,27,1,2,purebred,collie related,border collie,border collie,FALSE,0,2023-11-30 00:00:45,Late Night (00:00 - 04:59),
exposure_00b7d668-a3bf-48c7-a742-8cb76bc20ab3,male,FALSE,,,4,80,200,House,Vaucluse,2030,NSW,1981-09-07,80200,0-6 months,43,1,3,purebred,retriever,golden retriever,golden retriever,FALSE,0,2024-09-10 13:17:26,Afternoon (12:00 - 17:59),
exposure_00bf47e8-da8b-4f6e-989e-559e21bde9f1,male,TRUE,1-2 yr,FALSE,32,80,0,House,Mount Cotton,4165,QLD,1983-01-25,800,2 years,41,1,2,purebred,brachycephalic,french bulldog,french bulldog,TRUE,0,2024-04-29 22:10:13,Evening (18:00 - 23:59),
exposure_00c6a12c-13bb-48b4-8217-2501a22e7271,male,FALSE,,,3,90,100,House,Baringa,4551,QLD,1984-03-08,90100,0-6 months,40,1,3,cross,,australian cobberdog,australian cobberdog,FALSE,0,2024-03-24 14:39:59,Afternoon (12:00 - 17:59),
exposure_00cde33b-5493-4028-9462-25cacaa0fe4e,female,FALSE,,,21,80,200,House,Nundah,4012,QLD,1963-07-12,80200,1 years,60,1,1,designerbreed,water dog,cavoodle,cavoodle,TRUE,0,2024-06-19 14:25:12,Afternoon (12:00 - 17:59),
exposure_00ce556f-3950-4baf-b8df-a72f2f8ce105,male,FALSE,,,60,80,200,House,Banya,4551,QLD,1994-04-29,80200,5 years,30,1,2,purebred,hound,beagle,beagle,FALSE,0,2024-06-06 09:31:53,Morning (05:00 - 11:59),
exposure_00d4e68f-fa47-4a1a-9a1b-f8b9a1937342,male,TRUE,4-6 mo,FALSE,21,90,200,Apartment,Wentworth Point,2127,NSW,1996-08-26,90200,1 years,27,1,1,designerbreed,water dog,cavoodle,cavoodle,FALSE,0,2024-07-28 00:15:56,Late Night (00:00 - 04:59),
exposure_00dc6bc1-1fbe-491d-8a20-0a64b727c694,male,TRUE,4-6 mo,FALSE,5,80,200,House,Rooty Hill,2766,NSW,1999-08-08,80200,0-6 months,25,1,2,purebred,hound,beagle,beagle,FALSE,0,2024-08-29 21:01:29,Evening (18:00 - 23:59),
exposure_00ee5fb6-ee79-48d1-a55a-1f1a68aab417,male,FALSE,,FALSE,3,90,200,House,Tarragindi,4121,QLD,1985-08-16,90200,0-6 months,38,1,2,purebred,spaniel,english cocker spaniel,english cocker spaniel,FALSE,0,2024-07-03 18:43:35,Evening (18:00 - 23:59),
exposure_00f3dc79-305d-4a7a-ac32-e491101d832e,male,FALSE,,FALSE,1,90,200,Apartment,Burleigh Heads,4220,QLD,2005-10-12,90200,0-6 months,18,1,2,purebred,brachycephalic,french bulldog,french bulldog,FALSE,0,2024-08-26 07:27:45,Morning (05:00 - 11:59),
exposure_00f69207-ef97-4d46-804b-afa5f6fac166,male,FALSE,,,6,90,100,House,Sunbury,3429,VIC,1980-02-20,90100,0-6 months,44,1,2,purebred,spitz related,samoyed,samoyed,FALSE,0,2024-03-27 11:44:41,Morning (05:00 - 11:59),
exposure_00f7d7ad-eaaf-4d1f-bf11-6740276c7308,male,FALSE,,,4,90,200,House,Liverpool,2170,NSW,1992-11-07,90200,0-6 months,31,1,1,purebred,water dog,poodletoy,poodletoy,FALSE,0,2024-05-20 09:12:23,Morning (05:00 - 11:59),
exposure_00fe148a-98c1-45b6-bb55-6819922228b6,male,FALSE,,,29,80,100,House,Mango Hill,4509,QLD,1984-07-10,80100,2 years,39,1,1,purebred,spitz related,schnauzerminiature,schnauzerminiature,FALSE,0,2024-01-06 12:22:38,Afternoon (12:00 - 17:59),
exposure_00ff58bd-18fd-43f9-98cb-a012fb5c6141,female,FALSE,,TRUE,29,80,200,House,Ocean Grove,3226,VIC,1980-05-01,80200,2 years,44,1,3,purebred,terrier,bull terrier,bull terrier,FALSE,0,2024-07-28 13:43:39,Afternoon (12:00 - 17:59),
exposure_01048aa6-1022-48e0-94aa-91e13a7e118d,male,FALSE,,FALSE,3,80,200,Apartment,Penrith,2750,NSW,1982-11-28,80200,0-6 months,41,1,2,purebred,teckel,dachshundstandard wire haired,dachshundstandard wire haired,FALSE,0,2024-08-31 08:01:03,Morning (05:00 - 11:59),
exposure_01054df0-86c8-4af6-b294-bcf8a962c757,male,FALSE,,,34,80,200,House,Glenroy,3046,VIC,1989-10-16,80200,2 years,34,1,2,cross,,labstaff,labstaff,FALSE,0,2024-08-05 16:05:44,Afternoon (12:00 - 17:59),
exposure_01056c01-7a7b-48fe-a694-cfef3906a469,male,FALSE,,FALSE,2,90,200,House,Grange,5022,SA,1957-12-11,90200,0-6 months,66,1,2,cross,,beaglier,beaglier,FALSE,0,2024-09-23 08:35:24,Morning (05:00 - 11:59),
exposure_0110a2ab-50ba-468d-b8ed-3563571e57ff,male,FALSE,,,60,80,100,House,Belfield,2191,NSW,1998-03-08,80100,5 years,26,1,2,purebred,hound,beagle,beagle,FALSE,0,2024-03-03 16:43:45,Afternoon (12:00 - 17:59),
exposure_0114b1c2-da81-468f-8661-e5a21ba666f3,female,FALSE,,,4,90,100,House,Mount Sheridan,4868,QLD,1991-10-02,90100,0-6 months,32,1,2,purebred,collie related,border collie,border collie,TRUE,0,2024-03-23 09:33:11,Morning (05:00 - 11:59),
exposure_011542f8-1b7c-40dc-87cb-e0a97c25dc22,male,TRUE,1-2 yr,,59,80,100,House,Scarsdale,3351,VIC,1988-12-14,80100,4 years,35,1,3,purebred,shepherd type,maremma sheepdog,maremma sheepdog,TRUE,0,2023-12-28 20:55:14,Evening (18:00 - 23:59),
exposure_011de621-a5f6-4c51-b16f-5263013844a8,female,TRUE,Not Sure,FALSE,22,80,200,House,Sunnybank Hills,4109,QLD,1980-04-13,80200,1 years,44,1,2,purebred,siamese,domestic short hair,domestic short hair,TRUE,0,2024-09-28 21:40:59,Evening (18:00 - 23:59),
exposure_0124a14e-c0a1-4f27-83bf-ffe55360feba,male,FALSE,,,3,100,100,Apartment,Richlands,4077,QLD,2001-05-18,100100,0-6 months,22,1,1,cross,,pomsky,pomsky,FALSE,0,2024-02-02 15:50:26,Afternoon (12:00 - 17:59),
exposure_012785e9-3b28-4b46-acd7-d454752ff467,female,FALSE,,,8,80,100,House,South Penrith,2750,NSW,1988-03-15,80100,7-12 months,35,1,3,designerbreed,water dog,groodle,groodle,FALSE,0,2024-02-16 21:06:12,Evening (18:00 - 23:59),
exposure_01311832-091f-4b98-b25b-a8992f925225,female,FALSE,,FALSE,16,90,200,Apartment,Gobbagombalin,2650,NSW,1995-05-14,90200,1 years,29,1,3,purebred,retriever,golden retriever,golden retriever,FALSE,0,2024-06-14 12:32:07,Afternoon (12:00 - 17:59),
exposure_01342c97-71b1-4181-be59-7166f0b50531,male,FALSE,,FALSE,2,80,100,House,Chatswood,2067,NSW,1963-09-19,80100,0-6 months,60,1,1,purebred,spitz related,pomeranian,pomeranian,FALSE,0,2024-06-30 22:40:36,Evening (18:00 - 23:59),
exposure_013919a4-1657-46f7-ac4e-0ddc051eb6b5,male,FALSE,,,36,80,100,House,Marrickville,2204,NSW,1983-03-31,80100,3 years,41,1,2,cross,,bordoodle,bordoodle,FALSE,0,2024-06-24 15:14:28,Afternoon (12:00 - 17:59),
exposure_0147eebb-efc3-42d6-b1ed-d3144ff79d7a,male,FALSE,,,4,100,100,House,Moorebank,2170,NSW,1987-07-31,100100,0-6 months,36,1,1,designerbreed,water dog,cavoodle,cavoodle,FALSE,0,2024-01-10 18:26:17,Evening (18:00 - 23:59),
exposure_01536e3d-0173-4fa5-bd3d-279acd9c48fd,female,TRUE,7-12 mo,,33,100,100,House,Norman Park,4170,QLD,1989-07-21,100100,2 years,34,1,2,purebred,collie related,border collie,border collie,FALSE,0,2024-02-16 08:33:14,Morning (05:00 - 11:59),
exposure_01568584-490e-45e7-9397-861be3694ca8,female,TRUE,0-3 mo,FALSE,105,80,200,House,Loganlea,4131,QLD,1994-03-17,80200,8 years,30,2,2.5,cross,cross,cross,"bull arab cross, staffordshire bull terrier",TRUE,0,2024-09-27 12:02:28,Afternoon (12:00 - 17:59),
exposure_0165f32a-54e9-4109-88d6-406a003e7e80,male,FALSE,,,46,80,200,House,Heathridge,6027,WA,1990-05-18,80200,3 years,34,1,2,purebred,hound,beagle,beagle,FALSE,0,2024-07-04 08:23:39,Morning (05:00 - 11:59),
exposure_01790964-01cc-464f-8098-764e42d939f1,male,TRUE,4-6 mo,TRUE,34,80,0,House,North Rocks,2151,NSW,1994-05-13,800,2 years,30,1,1,designerbreed,water dog,cavoodle,cavoodle,FALSE,0,2024-09-18 14:41:36,Afternoon (12:00 - 17:59),
exposure_017f732c-7ed9-4534-9939-5bd86c1ef0ab,male,TRUE,4-6 mo,FALSE,21,80,100,Apartment,Ormiston,4160,QLD,1947-09-17,80100,1 years,76,1,1,purebred,water dog,poodleminiature,poodleminiature,FALSE,0,2024-05-09 09:36:42,Morning (05:00 - 11:59),
exposure_019e3ed6-6ef5-41d9-a782-05e86d7ffac5,male,FALSE,,FALSE,2,80,200,House,Leichhardt,2040,NSW,1986-01-11,80200,0-6 months,38,1,3,purebred,mastiff,rottweiler,rottweiler,FALSE,0,2024-09-28 04:37:55,Late Night (00:00 - 04:59),
exposure_019f6e03-2135-4854-ae84-fdff2e3c1cb6,female,FALSE,,,6,90,100,House,Cranbourne,3977,VIC,2003-04-10,90100,0-6 months,20,1,3,unnamed cross,unknown,american staffordshire terrier cross,american staffordshire terrier cross,FALSE,0,2024-03-17 22:54:11,Evening (18:00 - 23:59),
exposure_01a11aba-9634-4222-8af1-9ee5e8d9bfc3,male,TRUE,4-6 mo,,37,90,0,Apartment,Neutral Bay,2089,NSW,1994-12-27,900,3 years,29,1,1,designerbreed,water dog,cavoodle,cavoodle,FALSE,0,2024-02-27 10:47:53,Morning (05:00 - 11:59),
exposure_01a1296d-a596-438e-8a75-d46e17ffd52e,female,FALSE,,,20,80,100,House,Sarina,4737,QLD,1989-08-02,80100,1 years,34,1,3,purebred,retriever,labrador retriever,labrador retriever,TRUE,0,2024-01-11 19:55:43,Evening (18:00 - 23:59),
exposure_01a3cf71-6548-47a4-ae7f-7f3de8a9e265,female,FALSE,,FALSE,2,90,0,House,Caulfield South,3162,VIC,1985-07-24,900,0-6 months,38,1,1,purebred,brachycephalic,pug,pug,TRUE,0,2024-06-24 14:50:02,Afternoon (12:00 - 17:59),
exposure_01a74ce8-7809-4a29-9706-63ebdee6e21c,male,FALSE,,,3,80,0,House,West Richmond,5033,SA,1992-05-03,800,0-6 months,32,1,3,purebred,retriever,golden retriever,golden retriever,FALSE,0,2024-06-05 19:23:01,Evening (18:00 - 23:59),
exposure_01a8d1d7-e995-463d-a56d-2e0e6357dcb2,male,FALSE,,TRUE,4,90,100,House,Murrumba Downs,4503,QLD,1972-06-17,90100,0-6 months,51,1,2,purebred,shepherd type,hungarian puli,hungarian puli,TRUE,0,2024-05-23 10:11:18,Morning (05:00 - 11:59),
exposure_01a9dce5-cda2-41ed-a0b1-e5da61bbe90b,male,FALSE,,,41,80,100,House,Tregear,2770,NSW,1993-03-15,80100,3 years,30,1,3,purebred,retriever,labrador retriever,labrador retriever,FALSE,0,2024-02-13 21:12:44,Evening (18:00 - 23:59),
exposure_01ac4585-385c-4209-b7f4-3c76476e6c47,female,FALSE,,,3,80,100,House,Marrickville,2204,NSW,1998-05-20,80100,0-6 months,25,1,1,purebred,water dog,poodletoy,poodletoy,FALSE,0,2024-04-24 21:50:45,Evening (18:00 - 23:59),
exposure_01ae57b7-1298-4973-b10c-6d807306dfe8,male,FALSE,,,7,80,100,House,Castle Hill,4810,QLD,1978-05-25,80100,7-12 months,45,1,1,cross,,schnoodle,schnoodle,FALSE,0,2024-03-22 15:36:48,Afternoon (12:00 - 17:59),
exposure_01b73719-31ac-431b-a3df-b33a9848b418,female,FALSE,,FALSE,4,80,100,House,Margaret River,6285,WA,1959-03-18,80100,0-6 months,65,1,1,purebred,spitz related,pomeranian,pomeranian,FALSE,0,2024-05-08 15:27:35,Afternoon (12:00 - 17:59),
exposure_01ce51a5-0e36-41e4-a146-679c0a805d03,female,TRUE,0-3 mo,FALSE,14,80,200,House,Moorebank,2170,NSW,1982-07-01,80200,1 years,42,1,1,designerbreed,water dog,cavoodle,cavoodle,FALSE,0,2024-07-17 19:58:58,Evening (18:00 - 23:59),
exposure_01d165df-66ba-43c2-b209-058549096491,female,FALSE,,,71,80,100,House,Cooranbong,2265,NSW,1957-10-28,80100,5 years,66,1,1,purebred,terrier,fox terrierminiature,fox terrierminiature,FALSE,0,2023-12-29 08:22:08,Morning (05:00 - 11:59),
exposure_01d3b04b-1912-40bf-91ef-273232aae2dd,female,FALSE,,FALSE,4,80,100,House,Thagoona,4306,QLD,1972-04-08,80100,0-6 months,52,1,2,purebred,brachycephalic,french bulldog,french bulldog,FALSE,0,2024-06-13 07:38:23,Morning (05:00 - 11:59),
exposure_01d76345-4393-4437-811e-19cfb13db81e,male,FALSE,,FALSE,15,80,100,Apartment,Baulkham Hills,2153,NSW,1992-07-09,80100,1 years,31,1,2,purebred,spaniel,english cocker spaniel,english cocker spaniel,TRUE,0,2024-05-22 07:30:39,Morning (05:00 - 11:59),
exposure_01da76f0-aef3-4ff6-80f7-0e1d286e4118,female,TRUE,7-12 mo,FALSE,42,80,200,House,Wickham,6720,WA,1975-07-25,80200,3 years,48,1,2,purebred,brachycephalic,french bulldog,french bulldog,TRUE,2,2024-04-17 08:11:47,Morning (05:00 - 11:59),
exposure_01de0691-69e1-4a6f-aa5d-c025bb769fff,female,FALSE,,FALSE,2,80,200,House,Dubbo,2830,NSW,1988-04-20,80200,0-6 months,36,1,1,designerbreed,water dog,cavoodle,cavoodle,FALSE,0,2024-09-28 11:49:12,Morning (05:00 - 11:59),
exposure_01e55e44-0685-4c4c-bfd2-146af01cb5a4,male,FALSE,,,3,80,200,House,Bungendore,2621,NSW,1996-09-18,80200,0-6 months,27,1,3,purebred,retriever,golden retriever,golden retriever,FALSE,0,2024-06-30 08:29:15,Morning (05:00 - 11:59),
exposure_01ea5d2d-ee02-48c5-b37c-ada1f85a4896,male,FALSE,,,75,80,200,House,Pine Mountain,4306,QLD,1982-04-05,80200,6 years,42,1,2,purebred,hound,beagle,beagle,FALSE,0,2024-06-30 07:56:48,Morning (05:00 - 11:59),
exposure_01ef07fd-bbad-4c96-9bcc-55a34cfd4712,male,TRUE,1-2 yr,,14,80,100,House,Kallangur,4503,QLD,1986-02-20,80100,1 years,38,1,1,unnamed cross,unknown,king charles spaniel cross,king charles spaniel cross,TRUE,0,2024-03-24 18:07:25,Evening (18:00 - 23:59),
exposure_01f0f0f2-3c13-4939-87f5-7d02ac6a48f7,male,TRUE,1-2 yr,FALSE,23,90,100,House,Annerley,4103,QLD,1967-10-06,90100,1 years,56,1,3,purebred,traditional,briard,briard,FALSE,0,2024-08-08 20:06:16,Evening (18:00 - 23:59),
exposure_01f1b85d-6057-4abc-9d38-7867f4b9c4d1,female,FALSE,,,3,80,100,House,Balwyn North,3104,VIC,1980-04-02,80100,0-6 months,43,1,1,designerbreed,water dog,cavoodle,cavoodle,FALSE,0,2024-01-11 21:10:21,Evening (18:00 - 23:59),
exposure_01f611dd-0f98-4e66-ae8c-969b14bc292e,male,TRUE,7-12 mo,,45,80,100,Apartment,Rose Bay,2029,NSW,1987-09-22,80100,3 years,36,1,1,purebred,teckel,dachshundminiature smooth haired,dachshundminiature smooth haired,FALSE,0,2024-01-01 19:40:50,Evening (18:00 - 23:59),
exposure_01f7dcbe-045c-4c70-9bf8-66875e8a4e07,female,FALSE,,TRUE,10,80,200,House,Australind,6233,WA,1998-02-18,80200,7-12 months,26,1,3,purebred,retriever,golden retriever,golden retriever,FALSE,0,2024-09-07 10:10:40,Morning (05:00 - 11:59),
exposure_020010a6-798c-4b73-972e-b453e25b5930,male,TRUE,4-6 mo,FALSE,72,80,200,House,Wollongbar,2477,NSW,1961-03-30,80200,6 years,63,3,1,cross,cross,cross,"jack russell terrier cross, fox terrierminiature, chihuahua",FALSE,0,2024-08-06 17:30:53,Afternoon (12:00 - 17:59),
exposure_020c7f25-ecfb-4629-9fed-d7b15b55ddc4,female,TRUE,4-6 mo,TRUE,98,90,100,House,Burns Beach,6028,WA,1991-09-19,90100,8 years,32,1,3,purebred,brachycephalic,american staffordshire terrier,american staffordshire terrier,TRUE,0,2024-06-27 07:27:50,Morning (05:00 - 11:59),
exposure_02136343-8dff-47f7-a786-aa9d99acd61f,male,TRUE,4-6 mo,TRUE,44,80,200,House,North Bondi,2026,NSW,2002-04-07,80200,3 years,22,1,3,unnamed cross,unknown,american staffordshire terrier cross,american staffordshire terrier cross,FALSE,0,2024-09-06 10:58:31,Morning (05:00 - 11:59),
exposure_02183b37-c253-4254-b1d5-e628b2015925,female,FALSE,,TRUE,5,80,200,Apartment,West Albury,2640,NSW,1964-06-07,80200,0-6 months,60,1,1,purebred,teckel,dachshundminiature smooth haired,dachshundminiature smooth haired,FALSE,0,2024-08-12 13:56:50,Afternoon (12:00 - 17:59),
exposure_021c1333-de94-4c6f-9a52-45590eef5628,male,FALSE,,FALSE,3,80,100,Apartment,Alexandria,2015,NSW,1994-01-28,80100,0-6 months,30,1,2,purebred,hound,beagle,beagle,FALSE,0,2024-05-31 11:15:35,Morning (05:00 - 11:59),
exposure_021d1e58-467f-4973-9e91-da32fd593e83,male,FALSE,,FALSE,23,90,200,Apartment,Monterey,2217,NSW,1967-11-02,90200,1 years,56,1,1,purebred,terrier,west highland white terrier,west highland white terrier,TRUE,0,2024-09-25 20:44:29,Evening (18:00 - 23:59),
exposure_02203821-2566-4559-b3ce-c7cfbff9ace9,female,FALSE,,,3,90,100,Apartment,Elsternwick,3185,VIC,1997-08-12,90100,0-6 months,26,1,1,purebred,spitz related,pomeranian,pomeranian,TRUE,0,2024-02-27 20:25:51,Evening (18:00 - 23:59),
exposure_022b20f7-8ded-42f9-92dd-1c663c315c5e,female,FALSE,,,4,100,100,House,Miami,4220,QLD,1998-04-16,100100,0-6 months,25,1,1,purebred,teckel,dachshundminiature long haired,dachshundminiature long haired,FALSE,0,2024-02-13 13:50:30,Afternoon (12:00 - 17:59),
exposure_023851fb-429c-4d49-9f16-977e10235935,male,TRUE,7-12 mo,FALSE,11,100,200,Apartment,Randwick,2031,NSW,1990-08-03,100200,7-12 months,34,1,1,purebred,terrier,jack russell terrier,jack russell terrier,FALSE,0,2024-07-24 19:33:48,Evening (18:00 - 23:59),
exposure_0245d31a-990b-4ed8-ace5-5a0e05e4d4e4,male,TRUE,2+ yr,FALSE,72,80,200,Apartment,Nundah,4012,QLD,1982-02-23,80200,6 years,42,1,1,purebred,brachycephalic,chihuahua,chihuahua,TRUE,0,2024-08-15 19:33:25,Evening (18:00 - 23:59),
